n,title,is_pr,state,created,closed,author,comments,labels
682,2.0.0 fails on OpenSuse Tumbleweed,False,OPEN,2023-04-05,,KayTaneJupiter,5,
683,run workflow workaround,True,MERGED,2023-04-07,2023-04-07,jonasBoss,0,
684,Autoloading not working (used to work before),False,OPEN,2023-04-08,,ghost,1,
685,ModuleNotFoundError: No module named 'inputremapper.gui.reader_service',False,CLOSED,2023-04-14,2023-11-05,zcorn2017,3,
686,input-remapper GUI freeze when trying to map a key to dualsense touchpad,False,OPEN,2023-04-16,,zany130,0,
687,Implement Double/Triple Press macros (ex. Play/Next/Previous media buttons),False,CLOSED,2023-04-17,2023-04-25,antheas,2,
689,Docker image anyone?,False,OPEN,2023-04-20,,Aqua1ung,1,"help wanted,packaging"
690,"Add ""Script"" as output type",False,CLOSED,2023-04-24,2023-08-17,jnyheim,1,
691,Conflicting with KDE `Invert Scrolling` flags,False,CLOSED,2023-04-25,2023-08-17,adhiemsumitro,3,
692,Programs that respond when Alt_L alone is pressed,False,CLOSED,2023-04-26,2023-06-06,plafourc,2,
694,Lost connection to Wayland compositor,False,CLOSED,2023-04-28,2023-04-28,ghost,1,
695,"DBus error: `Connection "":xxx"" is not allowed to own the service ""inputremapper.Control""`",False,CLOSED,2023-04-29,2023-08-17,theoretischer,4,
697,2.0 doesn't work anymore,False,CLOSED,2023-05-02,2023-05-12,mickeyl,8,
698,Pepper Jobs Remote Control Cannot Record,False,CLOSED,2023-05-02,2023-08-17,abrombo,4,
699,Doesn't start on boot.,False,CLOSED,2023-05-03,2023-08-17,examplug,2,
700,"ERROR: Request to autoload ""DEVICE"" before a user told the service about their session using set_config_dir",False,CLOSED,2023-05-03,2023-11-05,captaincurrie,1,
701,"""Link has been severed"" for systemd service files",False,CLOSED,2023-05-06,2025-02-09,ArtCore13,14,
702,Get injection status via input-remapper-control,False,OPEN,2023-05-07,,spacescientist,1,"feature request,good first issue"
703,Debian Bullseye install from git gives  E: Sub-process /usr/bin/dpkg returned an error code (1),False,OPEN,2023-05-09,,Jackfritt,8,
705,legacy-install-failure during installation on Fedora 38,False,CLOSED,2023-05-12,2023-08-17,realgooseman,2,
706,ALT_L + Q mapping to F5 produces Alt+F5,False,CLOSED,2023-05-13,2023-05-13,ivanxpetrov,0,
707,Search key not detected (kinesis freestyle solo keyboard),False,CLOSED,2023-05-14,2023-11-05,BarbzYHOOL,3,
708,Add Brazilian Portuguese translation and update .po files,True,MERGED,2023-05-16,2023-05-16,rffontenelle,0,
709,Improve CI,True,CLOSED,2023-05-16,2023-06-24,rffontenelle,17,
710,"WARNING: No origin_hash set for {'type': 1, 'code': 272}",False,CLOSED,2023-05-17,2023-05-24,littlesandra88,16,
711,Fix btn left confusion,True,MERGED,2023-05-19,2023-05-21,jonasBoss,0,
712,Injection service can't be resumed once stopped,False,CLOSED,2023-05-24,2023-06-01,zany130,1,
714,press start not working. The service isn't starting.,False,CLOSED,2023-05-25,2023-06-25,antonio24073,1,
715,Not reading inputs.,False,CLOSED,2023-05-25,2023-06-24,Banacizo,1,
716,Unable to apply or autoload any key mappings,False,CLOSED,2023-05-26,2023-05-31,alastair1616,5,
717,Error while applying remapping to keyboard after update,False,CLOSED,2023-05-26,2023-08-17,terminal-case,2,
718,input-remapper-control UnicodeDecodeError - no Logitech mouse available,False,CLOSED,2023-05-27,2023-08-27,mr2c12,2,
719,Update README.md,True,MERGED,2023-05-29,2023-05-29,alxpl,1,
