n,title,is_pr,state,created,closed,author,comments,labels
954,Remapping any key to CapsLock or KEY_CAPSLOCK has incorrect behavior,False,OPEN,2024-09-16,,Liberato116,2,
955,"""device name"" has no useful capabilities prevents axis-only devices from being remapped",False,CLOSED,2024-09-18,2024-10-18,StelardActek,2,
956,Do not exclude buttonless devices that have axes,True,MERGED,2024-09-19,2024-10-01,StelardActek,6,
957,Request: Support virtual joysticks?,False,OPEN,2024-09-19,,StelardActek,4,
958,"How to do ""mouse(down, 60)"" and ""hold_keys(BTN_LEFT)""?",False,CLOSED,2024-09-20,2024-12-29,JordanPavlic,4,
959,Escape portions of paths not intended to be globbed on,True,CLOSED,2024-09-22,2024-10-20,branan,2,
960,Improved test setup,True,MERGED,2024-09-28,2024-10-16,sezanzeb,5,
962,"Error ""The device was not grabbed"" when trying to activate mapping of key to minus/underscore",False,CLOSED,2024-10-01,2024-10-01,mdpenguin,1,
963,Fixing debug log source file for written keys,True,MERGED,2024-10-01,2024-10-01,sezanzeb,0,
964,Dependency injection,True,MERGED,2024-10-02,2024-10-19,sezanzeb,2,
965,Fixing release events when keys are released in order of pressing,True,MERGED,2024-10-04,2024-10-25,sezanzeb,11,
966,Use packaging.version instead of pkg_resources,True,MERGED,2024-10-04,2024-10-05,skitt,1,
967,Added optional wait variance,True,CLOSED,2024-10-06,2024-10-25,shawarden,1,
968,Problem with notebook's Lenovo Legion keybord,False,OPEN,2024-10-07,,Dreamstaler,0,
969,How do I associate scroll wheel with Ctrl-+ and Ctrl-- ?,False,CLOSED,2024-10-08,2024-10-11,nelson777,5,
970,How do I associate a scroll wheel event to Control_L + scroll up or down ?,False,CLOSED,2024-10-11,2024-10-16,nelson777,5,
971,Release mouse Movement,False,OPEN,2024-10-11,,KAGEYAM4,0,
972,How to write Macro in input,False,CLOSED,2024-10-12,2024-10-12,KAGEYAM4,2,
973,Docs: clears misunderstanding on where Macros can be used,True,MERGED,2024-10-12,2024-10-14,KAGEYAM4,0,
974,Dependency injection,True,CLOSED,2024-10-16,2024-10-16,sezanzeb,0,
976,Cannot start input-remapper-gtk - ModuleNotFoundError: No module named 'inputremapper.logger',False,CLOSED,2024-10-17,2024-10-22,broccoliiiiiii,9,
977,pkexec broken in chromeos + debian environment,False,OPEN,2024-10-18,,lumorin,12,
978,Escape portions of paths not intended to be globbed on,True,MERGED,2024-10-20,2024-10-20,sezanzeb,0,
979,Improve pipe debug logs,True,MERGED,2024-10-20,2024-10-20,sezanzeb,0,
980,Allow reader-service to be started separately,True,MERGED,2024-10-20,2024-10-27,sezanzeb,0,
981,Tiny system hang when using a remapped key,False,OPEN,2024-10-22,,creeper82,1,
982,Fix input-remapper-control for python < 3.12,True,MERGED,2024-10-22,2024-10-23,DjUlt,2,
983," input-remapper-gtk results in DeprecationWarning, unsupported operand type(s)",False,CLOSED,2024-10-23,2024-10-25,duskallegro,1,
984,Alt+Tab macro not working after update,False,CLOSED,2024-10-23,2024-10-30,celeborne,2,
986,Added optional wait variance,True,MERGED,2024-10-25,2024-10-25,sezanzeb,0,
987,"Coverage and documentation improvements, bin-refactoring",True,MERGED,2024-10-25,2024-10-26,sezanzeb,0,
988,Interact with Numlock?,False,CLOSED,2024-10-27,2024-10-27,mprytoluk,5,
989,Add if_capslock and if_numlock,True,MERGED,2024-10-27,2024-10-27,sezanzeb,0,
990,Improved logs and behavior when starting processes,True,MERGED,2024-10-27,2024-10-28,sezanzeb,0,
992,Use /usr/bin/env python3 shebang,True,MERGED,2024-10-28,2024-10-29,sezanzeb,0,
993,Improve installation docs,True,MERGED,2024-10-29,2024-10-29,sezanzeb,0,
994,Remapping stopped working after switching keyboards,False,OPEN,2024-10-29,,cwitting,4,
996,Home row mods issue when typing fast,False,CLOSED,2024-11-04,2024-11-15,Cash-coder,9,
997,Reader service exits when pipes break,True,MERGED,2024-11-04,2024-11-04,sezanzeb,0,
999,if_single code cleanup,True,CLOSED,2024-11-05,2024-11-05,sezanzeb,1,
1000,Add mod_tap macro,True,CLOSED,2024-11-05,2024-11-13,sezanzeb,0,
1003,Better macro architecture,True,MERGED,2024-11-10,2024-12-01,sezanzeb,1,
1004,Add mod_tap macro function,True,MERGED,2024-11-13,2024-12-07,sezanzeb,0,
1005,Job for input-remapper.service failed because the control process exited with error code.,False,CLOSED,2024-11-15,2024-12-08,FackJox,2,
1006,Keyboard device is not detecting on first screen,False,OPEN,2024-11-16,,iffishells,0,
1007,Panic codeword,True,MERGED,2024-11-17,2024-12-13,sezanzeb,0,
1009,[solved] Autoload stores only the last edited preset in `~/.config/input-remapper-2/config.json`,False,CLOSED,2024-11-21,2024-11-21,noyannus,2,
1010,Holding the super key while autoloading or loading a preset breaks the super key,False,OPEN,2024-12-03,,teslatankx,2,
1011,Tartarus Pro wheel sending both wheel up and down events and remapping,False,CLOSED,2024-12-06,2024-12-06,jeisom,2,
1013,Service segfault after update to glib2 2.82.3-1,False,CLOSED,2024-12-10,2024-12-12,WyvernDotRed,6,
1014,wont start anymore,False,CLOSED,2024-12-11,2024-12-12,Rosenblack,4,
1015,Cannot install latest deb 2.0.1,False,OPEN,2024-12-11,,jxu,3,
1016,Input Remapper not starting,False,CLOSED,2024-12-13,2025-01-10,Aqua1ung,12,
1017,No longer able to move mouse cursor,False,CLOSED,2024-12-15,2024-12-16,hanggrian,2,
1018,How to add a command for press and tap????,False,CLOSED,2024-12-16,2024-12-16,ironhak,1,
1019,Fix event macro,True,MERGED,2024-12-16,2024-12-16,sezanzeb,0,
1020,Create anki,True,OPEN,2024-12-19,,benny121301,0,
1021,ModuleNotFoundError: No module named 'inputremapper',False,CLOSED,2024-12-23,2024-12-25,WyvernDotRed,8,
1022,"""The device was not grabbed"" when remapping BTN_MIDDLE to BTN_LEFT",False,CLOSED,2024-12-25,2024-12-27,user529481,12,
1023,Two keybinds can't be executed at the exact same time (btn_a + space and btn_b + space = just btn_b + space),False,OPEN,2024-12-26,,DiamondYoshi,2,
1024,Improved error status messages,True,MERGED,2024-12-27,2024-12-28,sezanzeb,0,
1025,Macros reset unreleased keys,True,MERGED,2024-12-28,2025-01-01,sezanzeb,0,
1026,input remapper stops working after some time?`,False,OPEN,2024-12-30,,francois1234284,29,
1027,Append /usr/local/lib to sys.path if import fails,True,MERGED,2024-12-30,2025-01-05,sezanzeb,3,
1028,Input lag with tap-hold remapping,False,OPEN,2025-01-01,,bellissimogiorno,1,
1029,Add mouse_xy macro,True,MERGED,2025-01-01,2025-01-08,sezanzeb,3,
1030,Add parallel macro,True,MERGED,2025-01-01,2025-01-12,sezanzeb,0,
1031,Not loading on boot using Open SUSE Tumbleweed ,False,OPEN,2025-01-03,,danielrosehill,8,
1032,Split test_macros,True,MERGED,2025-01-04,2025-01-12,sezanzeb,0,
1035,The darumonkey patch 1,True,CLOSED,2025-01-13,2025-01-13,The-Darumonkey,1,
1037,mute one mapping while another is triggered,False,OPEN,2025-01-16,,v1s1n,3,feature request
1040,Can I get keyboard layout independent mappings?,False,CLOSED,2025-01-23,2025-02-06,iago-lito,5,
1042,"""dead_greek"" modifier support",False,OPEN,2025-01-27,,hprodh,0,
1043,Date / time variables would be useful,False,OPEN,2025-01-27,,mzguy,0,feature request
1044,Scrolling does not work when mouse is moving.,False,OPEN,2025-01-27,,xasnev,15,environment incompatibility
1045,Input forwarding leads to games reading two gamepads,False,OPEN,2025-01-28,,lyra-scarlet,6,feature request
1046,Unable to bind BTN_SIDE + combos if BTN_SIDE + X/Y Axis is bound.,False,CLOSED,2025-01-29,2025-02-04,shawarden,2,
1047,inputremapper.logger - module not found,False,CLOSED,2025-01-29,2025-01-30,The-Darumonkey,5,
1048,mouse sensitivity resets when in use on kde plasma wayland (kubuntu),False,CLOSED,2025-01-31,2026-02-27,the-nummer-zone,4,environment incompatibility
1049,2.1.0,True,MERGED,2025-02-01,2025-02-08,sezanzeb,0,
1050,Fix rel_to_abs recentering,True,MERGED,2025-02-01,2025-02-01,sezanzeb,0,
1051,if_tap hold works on one device but not another,False,CLOSED,2025-02-01,2025-02-05,urnati,9,
1052,mouse_xy() is a unknown funtion(Fedora 41),False,CLOSED,2025-02-02,2025-02-02,laurimus,1,
1053,Stop all dot desktop,True,OPEN,2025-02-02,,sezanzeb,0,
1054,Don't suppress combinations that map to an analog axis,True,MERGED,2025-02-02,2025-02-04,sezanzeb,1,
1055,Fix rel_to_abs recentering after retriggering,True,MERGED,2025-02-02,2025-02-02,sezanzeb,0,
1056,Can't map comma button to anything else,False,OPEN,2025-02-04,,tomhoq,0,
1058,Reload xmodmap when injection starts,False,OPEN,2025-02-06,,sezanzeb,0,feature request
1059,не запускается в manjaro,False,OPEN,2025-02-08,,sdnpty,3,
1060,Unlink ubuntu service symlinks in postinst,True,MERGED,2025-02-09,2025-02-09,sezanzeb,0,
1061,"Preset stuck; can't be edited, or deleted",False,CLOSED,2025-02-12,2025-02-15,Cellosia,3,
1062,"key combo working, but doing a copy/paste at the same time?",False,OPEN,2025-02-12,,gstlouisgit,1,
1063,Support python-evdev 1.8.0,True,MERGED,2025-02-15,2025-02-15,sezanzeb,1,
1064,Install dbus policy in /usr/share,True,MERGED,2025-02-15,2025-02-15,skitt,4,
1065,2.1.1,True,MERGED,2025-02-16,2025-02-16,sezanzeb,0,
1067,Keys not detected UNLESS Sonaar is also running,False,CLOSED,2025-02-23,2025-02-25,theoretischer,1,
1068,Custom groups,True,OPEN,2025-02-25,,sezanzeb,0,help wanted
1070,How to disable first key in combination conditionally,False,OPEN,2025-02-27,,jodhsinghnahal,1,
1071,Injecting maximum of 5 characters,False,CLOSED,2025-02-27,2025-02-28,gahisee,2,
1073,"Trigger a key combo on Presses, not after Presses+Release",False,OPEN,2025-03-02,,jackthenewbie,2,
1074,Input-remapper not working after python3-evdev update on Fedora 41 (2.0.1 latest available),False,CLOSED,2025-03-02,2025-03-11,penguinbait,12,
1075,No way to specify inputs from two devices,False,OPEN,2025-03-02,,gahisee,8,
1076,Scrolling trackball while keyboard keys are pressed not working,False,OPEN,2025-03-04,,akerge,1,
1077,Delete buttons are not idiot-proof enough.,False,OPEN,2025-03-11,,DiamondYoshi,1,UX
1079,Release Modifiers Outside Of Macros,False,OPEN,2025-03-15,,IGLADI,2,
1080,Keyboard has mouse logo on gui,False,OPEN,2025-03-19,,iceymix,1,
1081,[Feature] different `gain` value when input is greater than zero or not for analog axis,False,OPEN,2025-03-25,,lovemilk2333,0,
1082,Allow different Input Remaps per application,False,OPEN,2025-03-26,,relma2,2,
1083,Update Slovak translation.,True,MERGED,2025-03-28,2025-03-29,jose1711,1,
1085,"""x"" already mapped to somethin else",False,OPEN,2025-04-05,,HappyPony,0,
1086,[Feature] Detect long press on input button,False,OPEN,2025-04-08,,antlassagne,3,
1087,Analog Y to REL_WHEEL_HI_RES not smooth,False,OPEN,2025-04-11,,cgraeff,0,
1088,Can't shut down or reboot,False,OPEN,2025-04-11,,aqwek,0,
1089,hold_keys() on tablet pen crashes entire system,False,OPEN,2025-04-12,,RalekArts,0,
1091,"Logitech G300s - Linux Mint cinnamon 22.1 on VMWare Player 17, undetected Mouse Button G4 to G9",False,OPEN,2025-04-13,,DestoGit,2,
1092,Ctrl+w to CAPS LOCK not working on Firefox,False,OPEN,2025-04-13,,DestoGit,0,
1093,Ability to make the scrollwheel register the mapped key more than like 3 times per second,False,OPEN,2025-04-15,,quadruplea0,1,
1094,Make stopping and resuming of injection automatic when recording input.,False,OPEN,2025-04-15,,sabudum,0,
1095,Did not grab any device,False,CLOSED,2025-04-16,2025-04-28,velamyGH,1,
1096,How to map key combo without disabling individual keys,False,OPEN,2025-04-18,,PatrickNotStar23,4,
1099,High RAM usage on Fedora 41,False,OPEN,2025-04-23,,leejoramo-d51,0,
1101,[Feature] Add minimum and maximum hold time for hold_keys macro function,False,OPEN,2025-04-26,,PavelDobCZ23,0,
1102,fails to launch with latest git version form AUR,False,OPEN,2025-05-02,,Nathan22211,0,
1103,"App crashed after some time, then unable to start afterwards",False,OPEN,2025-05-04,,satishux,1,
1105,misleading error about missing /root config when running as system service,False,CLOSED,2025-05-18,2025-10-19,sebelk,0,
1106,Unable to map gamepad inputs and keyboard keys in the same macro?,False,OPEN,2025-05-20,,dotaxis,0,
1107,Scrolling with Mouse Cursor + RMB,False,OPEN,2025-05-24,,unopolar,1,
1108,How is double clicking configured exactly?,False,OPEN,2025-05-25,,7sparrow,0,
1109,Trying to map Razer Tartarus arrow key to a rapid mouse click,False,OPEN,2025-05-30,,DalSheron,4,
1111,Cannot startup input-remapper,False,OPEN,2025-06-08,,drunkenQCat,0,
1112,ERROR: did not find any input device,False,OPEN,2025-06-11,,jessewriter,0,
1114,Only the rebound gamepad keys work.,False,OPEN,2025-06-13,,jebez1,0,
1115,Gracefully handle missing config.json when running as root,True,CLOSED,2025-06-17,2025-10-19,Strykar,1,
1118,Update README.md,True,CLOSED,2025-06-26,2025-10-18,JosephScript,3,
1119,Will not switch presets.,False,OPEN,2025-06-26,,owenn50,0,
1126,GUI not starting anymore,False,OPEN,2025-07-15,,kolbenhans,2,
1127,[Feature Request] Sticky modifier (Hold modifier after press until next (non-modifier) key is pressed),False,OPEN,2025-07-16,,HifeFish,0,
1128,Erratic macro execution with mouse_xy,False,CLOSED,2025-07-17,2025-11-29,conreo,5,
1130,Associate scroll wheel on a touchpad with keyboard buttons.,False,OPEN,2025-07-20,,LeifAndersen,0,
1131,SyntaxWarning: invalid escape sequence '\d',False,OPEN,2025-07-21,,danielzgtg,0,
1132,Feature Request: DBus API Enhancements,False,OPEN,2025-07-23,,agc93,0,
1133,Docs bug,False,OPEN,2025-07-23,,ivanstepanovftw,1,
1134,Injection of double-click macro does not work for Logitech M720,False,OPEN,2025-07-25,,joshuactk,7,
1135,Add install steps for Gentoo,True,OPEN,2025-07-25,,EricaNebula,2,
1137,input-remapper-gtk won't launch,False,CLOSED,2025-08-01,2025-12-23,Blackfox-Thane,5,
1140,[FEATURE] Add automatic switching profiles,False,CLOSED,2025-08-02,2025-10-13,masterofobzene,3,
1141,Missing tray icon,False,OPEN,2025-08-04,,Everest10,3,
1143,remapping scroll wheel button to spacebar doesn't actually get injected,False,OPEN,2025-08-13,,maxvaneck,3,
1145,Improve Ukrainian translations,True,MERGED,2025-08-14,2025-08-15,Damglador,1,
1146,Add uninstaller/simple list of files to remove.,False,OPEN,2025-08-17,,alinxviso,1,
1147,Macro randomly stops working,False,CLOSED,2025-08-18,2025-08-25,noahholloncow-a11y,1,
1148,Regular crashes for missing devices when bringing the laptop out of Suspend mode,False,OPEN,2025-08-20,,BladeMF,2,
1150,Added automatic stopping and re-starting of injection when recording …,True,OPEN,2025-08-23,,sabudum,6,
1151,Switch to dasbus,False,CLOSED,2025-08-25,2025-11-09,sezanzeb,0,
1152,Stuff broken when mapping gamepads,False,CLOSED,2025-08-25,2026-04-15,sezanzeb,2,bug
1153,All mouse settings are seemingly overriden by the app to complete defaults once a mouse rebind is applied,False,OPEN,2025-08-27,,gaygoblin,15,
1154,Add the ability to bind seperate keys/macros from when a key is pressed and released,False,OPEN,2025-08-30,,chikenpotpi,3,
1155,remap key is not working recursively.,False,OPEN,2025-08-31,,Huanyu-Liu,1,
1156,Mention the psutil dependency in setup.py,True,MERGED,2025-09-01,2025-09-01,skitt,1,
1158,[Debian 13][KDE] input-remapper requires root permissions,False,OPEN,2025-09-04,,bai-yi-bai,2,
1161,bluetooth page-turner commands cannot be reassigned,False,OPEN,2025-09-09,,lhow,1,
1163,Unable to start injection with Python 3.14,False,CLOSED,2025-09-18,2025-10-19,HiImJake,19,
1165,Is the AUR repo still updated?,False,CLOSED,2025-09-20,2025-11-05,Aqua1ung,8,
1166,Multiple mappings with analog mouse in and out (speed change) add up,False,OPEN,2025-09-24,,sezanzeb,0,
1167,Scrollwheel input actions are not intercepted unlike other actions,False,OPEN,2025-09-24,,Pxtl,4,
1168,improve mouse-button names,True,MERGED,2025-09-26,2025-10-25,Pxtl,5,
1169,add mapping rename and delete hotkeys,True,MERGED,2025-09-27,2025-09-27,Pxtl,1,
1170,setup.py and especially data_files are deprecated,False,CLOSED,2025-09-27,2025-12-25,SammysHP,3,
1172,Input Remapper freezes occasionally.,False,OPEN,2025-09-29,,RadioDarrenFM,0,
1173,Add BTN_* to autocompletion,False,OPEN,2025-10-01,,sezanzeb,1,
1174,duration argument for key macro,False,OPEN,2025-10-01,,sezanzeb,0,
1176,[Feature Request] Add Gyro To Mouse,False,OPEN,2025-10-08,,Pragmer,0,
1177,Input Remapper won't start,False,OPEN,2025-10-09,,Luquatic,0,
1178,Hashes on json means no symlink bonding between wireless and corded profiles,False,OPEN,2025-10-10,,Arndorferd,0,
1180,Keyboard not showing up in devices,False,OPEN,2025-10-12,,TheCarpetMerchant,4,
1181,CachyOS - Autoload not working,False,OPEN,2025-10-13,,CloneIX,9,
1182,updating python-pydantic-core results in an error,False,OPEN,2025-10-17,,the-nummer-zone,0,
1183,add toggle macros,True,MERGED,2025-10-18,2025-10-19,Renari,10,
1184,"Python 3.14 compatibility, fix tests",True,MERGED,2025-10-19,2025-10-19,sezanzeb,6,
1185,Fix root config.json error message,True,MERGED,2025-10-19,2025-10-19,sezanzeb,0,
1186,Remove obsolete config code,True,MERGED,2025-10-19,2025-10-19,sezanzeb,0,
1187,"hold(set(foo,1)) ?",False,OPEN,2025-10-22,,pascualpobil,4,
1190,Port to pydantic v2,False,OPEN,2025-10-25,,sezanzeb,1,
1191,Can't find preset file to my drawning tablet,False,OPEN,2025-10-27,,ThanderHIRAR,0,
1192,"Missing dependency ""python-setuptools"" from AUR PKGbuild",False,OPEN,2025-10-29,,SuperSonic65535,1,
1193,Injection never finishing.,False,CLOSED,2025-10-29,2025-10-30,RaveTheGit,3,
1194,Input remapping only occuring after GUI is launched. GUI prompts Authentication is required,False,CLOSED,2025-10-30,2025-10-30,innateessence,6,
1195,showing mouse icons for my keyboard & remote,False,OPEN,2025-10-30,,neyel8r,0,
1196,"Tool is stuck on ""starting injection...""",False,CLOSED,2025-10-30,2025-11-01,Tp-danny,13,
1197,Pydantic v2,True,OPEN,2025-11-01,,sezanzeb,1,
1198,2.1.2,True,CLOSED,2025-11-01,2025-11-01,sezanzeb,1,
1199,2.2.0,True,MERGED,2025-11-01,2025-11-01,sezanzeb,0,
1200,Can't inject mouse mapping at Fedora KDE,False,CLOSED,2025-11-02,2025-11-04,Ransei422,12,
1201,Switch to dasbus,True,MERGED,2025-11-02,2025-11-09,sezanzeb,1,
1202,Logitech M720 Triathlon mouse FORWARD and BACK buttons,False,CLOSED,2025-11-05,2025-11-15,Aqua1ung,2,
1203,Claude/mqtt string action mapping 011 c upu la m aqk8fc7qbkj dgb,True,CLOSED,2025-11-06,2025-11-06,Qutaiba-Khader,0,
1204,Input Remapper GUI cannot apply a preset if it was previously launched from a terminal,False,OPEN,2025-11-08,,Kzer-Za,0,
1205,`python3-psutil` needs to be added as a dependency for Debian package,False,CLOSED,2025-11-09,2025-11-28,Liniya,7,
1206,Keyboard preset doesn't load anymore (after update),False,CLOSED,2025-11-10,2025-11-14,krisutofu,5,
1207,Autoload results in intermittent error: TimeoutError: The DBus call timeout was reached.,False,CLOSED,2025-11-12,2025-11-15,shawarden,12,
1209,Fast scrolling leads to events being ignored,False,CLOSED,2025-11-14,2025-11-14,danicc097,2,
1210,Fix the .desktop reference in metainfo,True,MERGED,2025-11-14,2025-11-15,skitt,1,
1211,Fix XDG_CONFIG_HOME being ignored,True,MERGED,2025-11-15,2025-11-15,Jorenar,7,
1212,DBus timeouts in ms,True,MERGED,2025-11-15,2025-11-15,sezanzeb,0,
1215,Trying to map AltRight+n to print niðing,False,CLOSED,2025-11-18,2025-12-05,kierun,7,
1216,Use raw string literals for regexes,True,MERGED,2025-11-22,2025-11-24,skitt,1,
1217,Input remapper seems to activate multiple presets for one device when I click Apply,False,CLOSED,2025-11-24,2025-11-24,mcarans,1,
1218,input-remapper not opening,False,OPEN,2025-11-27,,NotReallyRx,0,
1219,Caps Lock injections being unreliable (?) lately,False,CLOSED,2025-11-28,2026-02-11,Lu9-ST,1,
1221,"pyproject.toml, new build tool, improve github workflows",True,MERGED,2025-11-29,2025-12-25,sezanzeb,10,
1222,New icon,True,MERGED,2025-11-30,2025-12-23,sezanzeb,0,
1225,if_eq not working?,False,OPEN,2025-12-06,,BalaDeSilver,3,
1226,Conflict with Wacom Intuos tablet and KDE Plasma X11,False,OPEN,2025-12-09,,Rairun,0,
1227,Update AUR package via github action,False,OPEN,2025-12-10,,sezanzeb,0,
1230,Uninstall leaves remnants that try to autostart,False,OPEN,2025-12-30,,TheArkive,3,
1231,Do not install into /home,True,MERGED,2025-12-31,2025-12-31,sezanzeb,0,
1232,Clarify Controller Button Names,False,OPEN,2026-01-02,,pandaman09,1,
1233,Install only some components,True,MERGED,2026-01-07,2026-01-07,sezanzeb,3,
1234,Feature request: input-remapper-control command to generate synthetic inputs,False,OPEN,2026-01-10,,alexbobp,0,
1235,Input-remapper doesnt install its own library or its library is broken [SOLVED],False,CLOSED,2026-01-10,2026-01-10,kekmacska,2,
1236,input remapper service not starting,False,CLOSED,2026-01-10,2026-01-10,the-nummer-zone,4,
1237,Feature request: PS5 Dualsense Edge Paddles and Fn buttons,False,OPEN,2026-01-11,,christiantzq,0,
1238,KEY_F13 instead presses XF86Tools,False,OPEN,2026-01-11,,cD1rtX3,4,
1239,Can't map a button to Eisu_toggle,False,OPEN,2026-01-11,,cD1rtX3,0,
1241,"KEY_FASTFORWARD and KEY_REWIND not working on KDE Plasma, fine on GNOME.",False,OPEN,2026-01-12,,xiinistermr,0,
1242,Latest CachyOS update - IR no longer works,False,CLOSED,2026-01-12,2026-01-14,CloneIX,9,
1243,Add support combine keyboard key press + mouse buttons pressing on MOUSE input.,False,OPEN,2026-01-20,,dipol0,1,
1244,Map keyboard keys to D-Pad,False,OPEN,2026-01-22,,archbtww,2,
1245,Incorrect output keys for K8 and K10 keys on ACK05 Wireless Shortcut Remote,False,CLOSED,2026-01-24,2026-01-26,AJHarkness,2,
1246,"Cannot run on Gentoo, module 'inputremapper' not found",False,OPEN,2026-01-26,,akeauoupolee,4,
1247,Cannot build from git repo,False,OPEN,2026-01-27,,johnw42,0,
1248,"Can't type ""ß"": The output_symbol ""ß"" is not a macro and not a valid keycode-name (probably my skill issue)",False,CLOSED,2026-01-30,2026-02-06,iam-best,2,
1249,can't make analog controller using key button on keyboard,False,OPEN,2026-01-31,,edvillones,1,
1250,Need multiple binds for one button,False,OPEN,2026-01-31,,UnRealxInferno,2,
1251,Can't launch on Arch (auth failure),False,OPEN,2026-02-02,,cyrusae,9,
1253,How to get a spammed left click as left click is being held down,False,CLOSED,2026-02-07,2026-05-02,5Cheeseguy,3,
1254,Better input suppression,False,OPEN,2026-02-11,,dlprows,0,
1256,Correct typos in usage.md,True,CLOSED,2026-02-16,2026-03-02,MindingMyOwnBusiness,1,
1257,Autostart without User Prompt on startup,False,OPEN,2026-02-17,,JonnyJonnster,1,
1258,"KEY_NUMERIC_[key] does not map as a numpad key, all default to left click",False,OPEN,2026-02-18,,SapphicIna,2,
1260,Auto key repeat not working in TTY after using input-remapper,False,OPEN,2026-02-22,,domesya,1,
1261,GUI not opening on Wayland [SOLVED],False,CLOSED,2026-03-02,2026-03-02,MindingMyOwnBusiness,0,
1262,Games stopped recognizing inputs,False,OPEN,2026-03-02,,idkupick1,1,
1263,Use black from the ubuntu repos in workflow,True,MERGED,2026-03-04,2026-03-04,sezanzeb,0,
1264,razer tartarus v2 macro keypad won't record but can type normally,False,OPEN,2026-03-06,,deathclonic,1,
1265,[Feature request] Option: Surpress macro when further modifier keys are pressed,False,CLOSED,2026-03-11,2026-06-15,Buggfix42,2,
1266,[Bug] Completely messed up extended function keys (F13-24) binding,False,OPEN,2026-03-13,,IckyVickyUwU,3,
1267,Cannot map keys to L2 or R2,False,OPEN,2026-03-14,,draconic404,1,
1268,GUI app doesn't start with service on NixOS,False,OPEN,2026-03-15,,claymorwan,3,
1269,Added Void Linux to install instructions,True,MERGED,2026-03-17,2026-03-18,Soulful-Sailer,2,
1273,Controllers Trigger Continuous Disconnect Loop When Connected (Afterglow Wave & Switch Pro Controller),False,OPEN,2026-03-22,,N00B-5634,0,
1274,Gamepad fixes,True,MERGED,2026-03-22,2026-04-15,sezanzeb,0,
1275,Does Not Recognize Logitech G13 Macropad,False,OPEN,2026-03-25,,ewhac,0,
1276,Fix memory leak in event_reader; autoload presets for all device instances,True,CLOSED,2026-03-26,2026-04-19,nevion,2,
1278,"I tried multiple times, asked ai, but couldn't find, if we can open a file or script thru any action?",False,OPEN,2026-03-28,,bathindahelper,16,
1280,Feature request: Assign maps for each program seperately,False,CLOSED,2026-03-29,2026-04-05,der-wasguckstdu-dreier,1,
1281,BTN_TL2 & BTN_TR2 work not in GTA V.,False,OPEN,2026-04-01,,jebez1,0,
1282,Unable To Create Mappings,False,CLOSED,2026-04-06,2026-09-14,Android789515,3,
1284,Bug: input-remapper-control causes USB device reset loop on devices with no profile (8BitDo Arcade Controller),False,OPEN,2026-04-14,,TheCoderGamer,2,
1285,Restrict 99-input-remapper.rules to event nodes,True,MERGED,2026-04-18,2026-04-19,countgitmick,1,
1288,momentary functions like mouse and mouse_xy can't be used in hold or toggle macros.,False,CLOSED,2026-05-01,2026-05-13,shawarden,3,
1289,Outdated metadata,False,CLOSED,2026-05-08,2026-05-08,gerbasio999,0,
1290,fix: preserve forwarded mouse DPI metadata during injection,True,MERGED,2026-05-09,2026-05-10,mizuikki,5,
1291,on Arch-like distros it doesnt start. multiple reinstalls cannot solve the issue either and i can't do anything about it.,False,CLOSED,2026-05-11,2026-05-11,kekmacska,2,
1292,Feature: Trigger On Duration of Press,False,CLOSED,2026-05-11,2026-05-18,dysbulic,2,
1293,Feature: passthrough EV_FF events back to source gamepad,False,OPEN,2026-05-18,,viserctul,0,
1294,Overrides pointer acceliration,False,CLOSED,2026-05-19,2026-06-21,stone-alex,7,
1296,MX Ergo S,False,OPEN,2026-05-23,,saraneth0o,2,
1297,uinput device name must not be longer than 80 characters,False,CLOSED,2026-05-25,2026-06-02,brnlee,2,
1299,Add zh_TW Traditional Chinese locale,True,MERGED,2026-05-28,2026-06-01,PeterDaveHello,1,
1300,Failing to distinguish two identical receivers,False,OPEN,2026-05-28,,musikmon,3,
1301,Toggle presets via keyboard,False,OPEN,2026-05-31,,friendly-hacker-git,3,
1302,Fix similar devices stealing the injection on autoload,True,MERGED,2026-06-01,2026-06-01,sezanzeb,0,
1303,Feature Request: Hotkey/toggle to suspend injection,False,OPEN,2026-06-01,,Yoshimanix,3,feature request
1304,Limit forwarded uinput device names,True,MERGED,2026-06-02,2026-06-02,mizuikki,1,
1305,"freezes when using if_eq($foo,1,hold(key),hold(key))",False,CLOSED,2026-06-03,2026-06-18,teslatankx,9,bug
1307,input-remapper-control no longer finding devices.,False,CLOSED,2026-06-08,2026-06-11,dethzord,6,
1309,Listening to wrong /dev/input/eventXX,False,OPEN,2026-06-09,,nickbock,4,
1310,Add hint for permission problems to logs if device not found,True,MERGED,2026-06-11,2026-06-12,sezanzeb,0,
1311,Panic sequence to stop the process,True,OPEN,2026-06-12,,sezanzeb,0,
1312,2.2.1,True,MERGED,2026-06-12,2026-06-12,sezanzeb,0,
1313,More stable macro variable process,True,MERGED,2026-06-13,2026-06-18,sezanzeb,0,
1314,fix(injector): read from all devnodes sharing an origin_hash,True,OPEN,2026-06-14,,nickbock,0,
1315,Apply button tooltip hint stays on top of other applications after hovering,False,OPEN,2026-06-14,,Junner1st,0,
1316,[Feature Request] Splitting analogue axes,False,OPEN,2026-06-17,,CatOfTheCode,0,
1317,Relax timing in test_reader for github workflows,True,CLOSED,2026-06-18,2026-07-06,sezanzeb,0,
