id,item_n,author,created,is_review
751521096,7,claxonberlin,2020-12-27,False
751523814,6,danrobi11,2020-12-27,False
751524926,7,sezanzeb,2020-12-27,False
751525815,6,sezanzeb,2020-12-27,False
751525970,6,danrobi11,2020-12-27,False
751526059,6,sezanzeb,2020-12-27,False
751527072,7,sezanzeb,2020-12-27,False
751528094,7,claxonberlin,2020-12-27,False
751529510,7,sezanzeb,2020-12-27,False
751537396,10,sezanzeb,2020-12-28,False
751596077,10,mike-lloyd03,2020-12-28,False
751643458,10,sezanzeb,2020-12-28,False
751686827,7,claxonberlin,2020-12-28,False
752069548,7,sezanzeb,2020-12-29,False
752074375,7,sezanzeb,2020-12-29,False
752798531,11,sezanzeb,2020-12-31,False
752798882,7,sezanzeb,2020-12-31,False
752799277,10,sezanzeb,2020-12-31,False
752988166,8,amadeusp,2020-12-31,False
752988571,8,sezanzeb,2020-12-31,False
753026094,12,sezanzeb,2020-12-31,False
753028917,12,jim8989,2020-12-31,False
753031868,12,sezanzeb,2020-12-31,False
753151930,12,jim8989,2020-12-31,False
753156650,12,sezanzeb,2020-12-31,False
753172427,12,jim8989,2020-12-31,False
753175130,12,sezanzeb,2020-12-31,False
753214026,12,jim8989,2020-12-31,False
753218023,12,sezanzeb,2020-12-31,False
753219843,12,jim8989,2020-12-31,False
753223097,8,amadeusp,2020-12-31,False
753239659,12,sezanzeb,2021-01-01,False
753240021,8,sezanzeb,2021-01-01,False
753349954,12,jim8989,2021-01-01,False
753350711,12,sezanzeb,2021-01-01,False
753351179,12,sezanzeb,2021-01-01,False
753361001,12,jim8989,2021-01-01,False
753361222,12,sezanzeb,2021-01-01,False
753361571,12,sezanzeb,2021-01-01,False
753368922,12,jim8989,2021-01-01,False
753412981,12,sezanzeb,2021-01-02,False
753415549,10,sezanzeb,2021-01-02,False
753540134,13,sezanzeb,2021-01-02,False
753540177,12,sezanzeb,2021-01-02,False
753582480,8,hixan,2021-01-03,False
753592511,13,rimko,2021-01-03,False
753595378,14,rimko,2021-01-03,False
753599025,12,sezanzeb,2021-01-03,False
753599146,13,sezanzeb,2021-01-03,False
753601951,14,sezanzeb,2021-01-03,False
753604189,14,sezanzeb,2021-01-03,False
753605247,8,sezanzeb,2021-01-03,False
754085926,8,sezanzeb,2021-01-04,False
754189839,13,sezanzeb,2021-01-04,False
754455939,8,amadeusp,2021-01-05,False
754565754,12,sojusnik,2021-01-05,False
754584070,12,sezanzeb,2021-01-05,False
754819849,12,sezanzeb,2021-01-05,False
754820002,13,sezanzeb,2021-01-05,False
754874494,8,amadeusp,2021-01-05,False
754875505,12,sojusnik,2021-01-05,False
754886332,12,sezanzeb,2021-01-05,False
754889555,8,sezanzeb,2021-01-05,False
755312593,8,sezanzeb,2021-01-06,False
755744336,12,jim8989,2021-01-06,False
755825807,12,sezanzeb,2021-01-07,False
755826976,15,sezanzeb,2021-01-07,False
756004561,15,proton252,2021-01-07,False
756404785,8,amadeusp,2021-01-07,False
756407390,8,amadeusp,2021-01-07,False
756469345,8,sezanzeb,2021-01-08,False
756680701,13,rimko,2021-01-08,False
756685892,13,sezanzeb,2021-01-08,False
756842074,8,amadeusp,2021-01-08,False
756846153,8,sezanzeb,2021-01-08,False
756948110,16,sezanzeb,2021-01-08,False
757008215,16,jim8989,2021-01-08,False
757024807,16,sezanzeb,2021-01-08,False
757028769,16,jim8989,2021-01-08,False
757133859,17,sezanzeb,2021-01-09,False
757139359,18,sezanzeb,2021-01-09,False
757354089,19,sezanzeb,2021-01-09,False
757354751,18,sezanzeb,2021-01-09,False
757377749,18,RisingOrange,2021-01-09,False
757513761,21,sezanzeb,2021-01-10,False
757533185,22,sezanzeb,2021-01-10,False
757535139,21,jmaibaum,2021-01-10,False
757537585,21,sezanzeb,2021-01-10,False
757544189,21,jmaibaum,2021-01-10,False
757563926,23,Pete-Smith,2021-01-10,False
757564764,23,Pete-Smith,2021-01-10,False
757567531,23,sezanzeb,2021-01-11,False
757568146,23,Pete-Smith,2021-01-11,False
757568436,23,sezanzeb,2021-01-11,False
757568587,23,Pete-Smith,2021-01-11,False
759098533,24,sezanzeb,2021-01-12,False
759707290,24,jim8989,2021-01-13,False
759720964,24,sezanzeb,2021-01-13,False
761699570,19,sezanzeb,2021-01-16,False
761837277,24,laserburn,2021-01-17,False
761852574,24,sezanzeb,2021-01-17,False
761864371,24,jim8989,2021-01-17,False
761865869,21,sezanzeb,2021-01-17,False
761866368,24,sezanzeb,2021-01-17,False
762109124,25,sezanzeb,2021-01-18,False
762152028,25,sojusnik,2021-01-18,False
762205748,25,sezanzeb,2021-01-18,False
762207771,25,sojusnik,2021-01-18,False
762208620,25,sezanzeb,2021-01-18,False
762209929,25,sojusnik,2021-01-18,False
