n,title,author,created,comments,answered
1189,Assign Presets to Programs/Games,adamthegameguy,2025-10-25,1,False
1208,Horizontal scroll with left shift and mouse wheel,wernerdiers,2025-11-14,1,False
1213,can't map to nordic letters.,MartinTCode,2025-11-16,1,False
1214,"[SOLVED] The "" = "" key is inserted into the macro, but then it doesn't work",Eta-Beta,2025-11-18,1,False
1220,"New mouse: Logitech G502 SE Hero.  Input Remapper not reading the DPI Shift (Button G6), DPI Down (Button G7), DPI Up (Button G8)",tranquilsea3,2025-11-28,1,False
1223,Turbo Button Functionality,persecom,2025-12-02,0,False
1224,Razer Naga Mouse wheel tilt,Gahlah,2025-12-06,0,False
1228,injection not working again on Bazzite.,gothicshark,2025-12-11,1,False
1229,Only one gamepad uinput?,simonwiles,2025-12-26,0,False
1240,Trackball scroll,cdarken,2026-01-11,0,False
1252,How do i assign dpad from virtual gamepad to my keyboard?,Myrukora,2026-02-02,0,False
1255,"""toggle"" is not a macro",TaiRakasha,2026-02-15,1,True
1259,Toggle and Auto-Walking in Games,TaiRakasha,2026-02-20,0,False
1270,Input Remapper Disappeared,MicHaeL-MonStaR,2026-03-18,0,False
1271,Alternating outputs on same input?,Qaus-Sphene,2026-03-18,0,False
1272,Turn preset on and off with the same keypress,jackojmi,2026-03-21,1,True
1277,Curious about handling of unmapped inputs,Juanc1to,2026-03-27,0,False
1279,Visual indication of a variable,emv33,2026-03-29,0,False
1283,Ulanzi D100H Custom Mapping for KdenLIVE,simon-anderson,2026-04-10,1,False
1286,my documentation - hope it help someone,gNosTic-XXX,2026-04-28,0,False
1287,Can you map only to specific programs/windows?,geextahslex,2026-04-28,1,False
1295,dependencies,truethug,2026-05-22,0,False
1298,Wondering if my mouse is supported,Alphay2k,2026-05-26,0,False
1306,"How can I press two keys at the same time, with a 200-millisecond pause between keystrokes for the second key?",Kharim85,2026-06-04,0,False
1308,How to cycle a key while holding it?,a584-droid,2026-06-09,0,False
1320,Thank you for createing this software!,ArtoseAshwood,2026-06-28,1,False
1323,[Solved] How I used macros to map my keyboard and mouse - separate key bindings,ravmurth,2026-07-05,0,False
1330,Bug: Analog joystick axes with 0–65535 range are never detected by the recorder,FireRayo,2026-07-18,0,False
1339,Keyboard to Axis?,GeneralFlaw,2026-07-31,1,False
1344,"Use ""Generic"" modifiers for hotkeys",My1,2026-08-06,0,False
1345,Messing with Copilot,My1,2026-08-06,0,False
1353,Add Support for Racing Wheels with Inverted Analog,Zliquat,2026-08-30,0,False
1355,Mouse axes to key presses with a threshold,Kzer-Za,2026-09-05,1,True
